11beat	Eleven Beat	Hudson
baryona	바리온 - 퓨쳐 어썰트 (세트 2)	SemiCom / Tirano
basebal2	베이스볼: 시즌 2	Cinematronics
bass	세가 배스 피싱 (일본판)	Sega
basschal	세가 배스 피싱 챌린저 버전 A	Sega
basschalo	세가 배스 피싱 챌린저	Sega
bassdx	세가 배스 피싱 디럭스	Sega
batcir	배틀 서킷 (유럽판 970319)	Capcom
batcira	배틀 서킷 (아시아판 970319)	Capcom
batcird	배틀 서킷 (유럽판 970319, 피닉스 에디션) (해적판)	bootleg
batcirj	배틀 서킷 (일본판 970319)	Capcom
batlbubl	배틀 버블 (버전 2.00)	Banpresto (Limenko license?)
batlgear	배틀 기어 (버전 2.40 A)	Taito
batlgr2	배틀 기어 2 (v2.04J)	Taito
batlgr2a	배틀 기어 2 (v2.01J)	Taito
batman	배트맨	Atari Games
batmanfr	배트맨 포에버 (JUE 960507 버전 1.000)	Acclaim
batrider	암드 폴리스 배트라이더 (유럽판, 1998/02/13 금요일)	Raizing / Eighting
batriderc	암드 폴리스 배트라이더 (China) (Fri Feb 13 1998)	Raizing / Eighting
batriderhk	암드 폴리스 배트라이더 (홍콩판) (Mon Dec 22 1997)	Raizing / Eighting
batriderj	암드 폴리스 배트라이더 (일본판, B version) (Fri Feb 13 1998)	Raizing / Eighting
batriderja	암드 폴리스 배트라이더 (일본판, older version) (Mon Dec 22 1997)	Raizing / Eighting
batriderk	암드 폴리스 배트라이더 (슈퍼 비쥬얼 풋볼판, 1998/02/13 금요일)	Raizing / Eighting
batridert	암드 폴리스 배트라이더 (대만판) (Mon Dec 22 1997)	Raizing / Eighting
batrideru	암드 폴리스 배트라이더 (미국판) (Fri Feb 13 1998)	Raizing / Eighting
batsugun	발군 (拔群) / 발군 (세트 1)	Toaplan
batsuguna	발군 (拔群) / 발군 (구버전 set)	Toaplan
batsugunb	발군 (한국판 PCB)	Toaplan
batsugunsp	발군 - 스페셜 버전	Toaplan
battlane	배틀 레인! Vol. 5 (세트 1)	Technos Japan (Taito license)
battlane2	배틀 레인! Vol. 5 (세트 2)	Technos Japan (Taito license)
battlane3	배틀 레인! Vol. 5 (세트 3)	Technos Japan (Taito license)
battlcry	배틀크라이	Home Data
battlcryc	배틀크라이 (Version C)	Home Data
battlcryp	배틀크라이 (Prototype)	Home Data
battlera	건달 전투부대 블러디 울프 / 배틀 레인저스 (세계판)	Data East Corporation
battlnts	배틀란티스 (프로그램 코드 G)	Konami
battlntsa	배틀란티스 (program code F)	Konami
battlntsj	배틀란티스 (일본판, 프로그램 코드 E)	Konami
battroad	배틀 로드	Irem
bayroute	베이 루트 (세트 3, 세계판, FD1094 317-0116)	Sunsoft / Sega
bayroute1	베이 루트 (세트 1, US) (unprotected)	Sunsoft / Sega
bayrouted	베이 루트 (세트 3, World) (bootleg of FD1094 317-0116 set)	bootleg
bayroutej	베이 루트 (set 2, 일본판) (FD1094 317-0115)	Sunsoft / Sega
bayroutejd	베이 루트 (set 2, 일본판) (bootleg of FD1094 317-0115 set)	bootleg
bb2bmh	버블보블 (Memories Hack)	hack
bbakraid	배틀 바크레이드 - 언리미티드 버전 (미국판) (1999/06/08 화요일)	Eighting
bbakraidc	배틀 바크레이드 - 언리미티드 버전 (China) (Tue Jun 8 1999)	Eighting
bbakraidj	배틀 바크레이드 - 언리미티드 버전 (일본판) (1999/06/08 화요일)	Eighting
bbakraidja	배틀 바크레이드 (일본판) (Wed Apr 7 1999)	Eighting
bballoon	벌룬 & 벌룬	Eolith
bbbxing	베스트 바웃 복싱	Jaleco
bbchall	베이비 붐 챌린지	Status Games
bbhackv1	버블보블 (Level Hack)	hack
bbmanw	봄버맨 월드 / 뉴 다이나 블래스터 - 글로벌 퀘스트	Irem
bbmanwj	봄버맨 월드 (일본판)	Irem
bbmanwja	봄버맨 월드 (일본판, revised sound hardware)	Irem
bbredux	버블보블 ('bootleg redux' hack for 버블보블 PCB)	bootleg (Punji)
bbredux1	버블보블 Redux (Level Skip)	Punji
bbredux2	버블보블 Redux (Game Continue)	Punji
bbredux3	버블보블 Redux (High Score)	Punji
bchopper	배틀 초퍼	Irem
bcstry	B.C. 스토리 (세트 1)	SemiCom / Tirano
bcstrya	B.C. Story (세트 2)	SemiCom / Tirano
bdream97	Hudie Meng 97	bootleg (KKK)
beachspi	비치 스파이커즈 (GDS-0014)	CRI / Sega
beastrzr	블러디 로어 / 비스토라이저 (미국판)	Eighting / Raizing
beastrzrb	블러디 로어 / 비스토라이저 (미국판 bootleg)	bootleg
beautyb	뷰티 블럭	AMT
beeline	비라인 (39-360-075)	BFM
begas	베가스 배틀 (개정판 3)	Data East
begas1	베가스 배틀 (개정판 1)	Data East
bejpoker	Bonanza Enterprises' Joker Poker	Bonanza Enterprises, Ltd
benberob	벤 베로 베에 (일본판)	Taito
berabohm	초절륜인 베라보맨 (일본판 버전 C)	Namco
berabohmb	초절륜인 베라보맨 (일본판, Rev B)	Namco
berlwall	베를린 장벽	Kaneko
berlwallk	베를린 장벽 (슈퍼 비쥬얼 풋볼판)	Kaneko (Inter license)
bermudat	버뮤다 삼각지 (세계판)	SNK
bermudata	버뮤다 삼각지 (세계판 Wars) (미국판)	SNK
bermudatj	버뮤다 삼각지 (일본판)	SNK
bestbest	베스트 오브 베스트	SunA
bestri	베스트라이 (슈퍼 비쥬얼 풋볼판)	F2 System
bgaregga	배틀 가레가 (유럽 / 미국 / 일본 / 아시아판) (1996년 2월 3일)	Raizing / Eighting
bgareggabl	1945 Part-2 (Chinese hack of 배틀 가레가)	bootleg
bgareggabla	배틀 가레가(Chinese hack of 배틀 가레가)	bootleg
bgareggacn	배틀 가레가 - Type 2 (Denmark / China) (Tue Apr 2 1996)	Raizing / Eighting
bgareggahk	배틀 가레가 (Austria / 홍콩판) (Sat Feb 3 1996)	Raizing / Eighting
bgaregganv	배틀 가레가 - New Version (Austria / 홍콩판) (Sat Mar 2 1996)	Raizing / Eighting
bgareggat2	배틀 가레가 - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)	Raizing / Eighting
bgareggatw	배틀 가레가 (Taiwan / Germany) (Thu Feb 1 1996)	Raizing / Eighting
bigfghtr	싸워라! 빅 파이터	Nichibutsu
bigfight	빅 파이트 - 대서양에서의 분쟁	Tatsumi
bigkarnk	빅 카낙	Gaelco
bigkarnkm	빅 카르나크 (Modular System)	Gaelco
bigkong	빅 콩	bootleg
bigprowr	빅 프로 레슬링!	Technos Japan
bigrun	빅 런 (11번째 랠리 버전)	Jaleco
bigstrik	빅 스트라이커	Jaleco
bikkuri	빅 프로 레슬링 (일본판 881221, Ver 1.05)	Nichibutsu
biofreak	바이오프릭스 (시험판)	Midway Games
biomtoy	바이오메카니컬 토이 (비보호판)	Gaelco
biomtoya	바이오메카니컬 토이 (Ver. 1.0.1884)	Gaelco
biomtoyb	바이오메카니컬 토이 (Ver. 1.0.1878)	Gaelco
biomtoyc	바이오메카니컬 토이 (Ver. 1.0.1870)	Gaelco
bionicc	바이오닉 코만도 (유럽판)	Capcom
bionicc1	바이오닉 코만도 (US 세트 1)	Capcom
bionicc2	바이오닉 코만도 (US 세트 2)	Capcom
bioniccbl	바이오닉 코만도s (bootleg, 세트 1)	bootleg
bioniccbl2	바이오닉 코만도s (bootleg, 세트 2)	bootleg
bioplayc	바이오 플레이싱 캅 (Ver. 1.0.1823, prototype)	Gaelco
bioship	우주전함 고모라 / 바이오쉽 팔라딘	UPL (American Sammy license)
bjourney	라기 / 블루즈 저니 	Alpha Denshi Co.
bjourneyh	라기 / 블루즈 저니  (ALH-001)	Alpha Denshi Co.
bjourneypx	라기 / 블루즈 저니 (Plus Max hack by Xyahzhs)	Xyahzhs
bjtwin	봄 잭 트윈 (세트 1)	NMK
bjtwina	봄 잭 트윈 (세트 2)	NMK
bjtwinp	봄 잭 트윈 (prototype? with adult pictures, 세트 1)	NMK
bjtwinpa	봄 잭 트윈 (prototype? with adult pictures, 세트 2)	NMK
blackt96	블랙 터치 '96	D.G.R.M.
bladestl	블레이드 오브 스틸 (버전 T)	Konami
bladestle	블레이드 오브 스틸 (version E, Trackball)	Konami
bladestll	블레이드 오브 스틸 (version L, Trackball)	Konami
blandia	블랜디아	Allumer
blandiap	블랜디아 (시험판)	Allumer
blandias01	황금성2 /블랜디아 (Boss With Simple Attack Edition)	Unknown
blandias02	황금성2 /블랜디아 (Choice Hidden Character)	DDJ
blandias03	황금성2 /블랜디아 (Easy Move)	DDJ
blasted	블래스티드	Bally Midway
blastoff	블래스트 오프 (일본판)	Namco
blazeon	블레이즈 온 (일본판)	A.I (Atlus license)
blazeonj	블레이즈 온 (일본판)	A.I (Atlus license)
blazer	블레이저 (일본판)	Namco
blazlaz	블레이징 레이저	Hudson Soft
blazstar	블레이징 스타	Yumekobo
bldwolf	블루디 울프 (미국판)	Data East USA
bldwolfj	건달 전투부대 블러디 울프 (일본판)	Data East Corporation
bldyroar	블러디 로어 (일본판)	Eighting / Raizing
bldyror2	블러디 로어 2 (세계판)	Eighting / Raizing
bldyror2a	블러디 로어 2 (아시아판)	Eighting / Raizing
bldyror2j	블러디 로어 2 (일본판)	Eighting / Raizing
bldyror2u	블러디 로어 2 (미국판)	Eighting / Raizing
blkdrgon	블랙 드래곤 (일본판)	Capcom
blkdrgonb	블랙 드래곤 (bootleg)	bootleg
blkdrgonk	블랙 타이거 (한국어 번역판)	Capcom
blkheart	블랙 허트	UPL
blkheartj	블랙 허트 (일본판)	UPL
blktiger	블랙 타이거	Capcom
blktigera	블랙 타이거 (구버전)	Capcom
blktigerb1	블랙 타이거 (bootleg 세트 1)	bootleg
blktigerb2	블랙 타이거 (bootleg 세트 2)	bootleg
blktigerb3	블랙 타이거 / 블랙 드래곤 (mixed bootleg?)	bootleg
blktigerm	Black Tiger (Modular System)	bootleg (Gaelco / Ervisa)
blmbycar	블롬비 카	ABM & Gecas
blmbycaru	블롬비 카 (Version 1P0, not encrypted)	ABM & Gecas
block	블럭 블럭 (세계판 910910)	Capcom
blockbl	블럭 블럭 (bootleg)	bootleg
blockcar	썬더 & 라이트닝 2 / 블럭 카니발	Visco
blockcarb	블럭 카니발 / 썬더 & 라이트닝 2 (bootleg)	bootleg
blocken	블러큰 (일본판)	Visco / KID
blockj	블럭 블럭 (일본판 910910)	Capcom
blockout	블럭 아웃 (세트 1)	Technos Japan / California Dreams
blockout2	블럭 아웃 (세트 2)	Technos Japan / California Dreams
blockoutj	블럭 아웃 (일본판)	Technos Japan / California Dreams
blockr1	블럭 블럭 (세계판 911106 Joystick)	Capcom
blockr2	블럭 블럭 (세계판 910910)	Capcom
blocktax	블럭아웃 (TAX)	TAX / Game Revival
blokpong	플럭 퐁퐁	MOSS / Sammy
bloodbro	블러드 브라더스 (세트 1)	TAD Corporation
bloodbroj	블러드 브라더스. (일본판, 개정판 A)	TAD Corporation
bloodbroja	블러드 브라더스 (일본판)	TAD Corporation
bloodbros01	카발 2 / 블러드 브라더스 (시작버튼 + 업/다운 총 변경, 폭탄 99개)	pipi899
bloodbrou	블러드 브라더스 (미국판)	TAD Corporation (Fabtek license)
bloodstm	블러드 스톰 (버전 2.22)	Strata/Incredible Technologies
bloodwar	블러드 워리어	Kaneko
bloxeed	블록시드 (일본판, FD1094 317-0139)	Sega
bloxeedd	블록시드 (일본판) (bootleg of FD1094 317-0139 set)	bootleg
blswhstl	벨즈 & 휘슬즈 (버전 L)	Konami
blswhstla	벨즈 & 휘슬즈 (아시아판, version M)	Konami
bluehawk	블루 호크	Dooyong
bluehawkn	블루 호크 (NTC)	Dooyong (NTC license)
blzntrnd	블레이징 토네이도	Human Amusement
bm1stmix	비트매니아 (일본판 버전 B, JA-B)	Konami
bm2ndmix	비트매니아 2nd 믹스 (일본판 버전 B, JA-B)	Konami
bm2ndmxa	비트매니아 2nd 믹스 (일본판 버전 A, JA-A)	Konami
bm36th	비트매니아 III Append 6th Mix	Konami
bm37th	비트매니아 III Append 7th Mix	Konami
bm3core	비트매니아 III Append Core Remix	Konami
bm3final	비트매니아 III The Final	Konami
bm3rdmix	비트매니아 3rd 믹스 (일본판 버전 A, JA-A)	Konami
bm4thmix	비트매니아 4th 믹스 (일본판 버전 A, JA-A)	Konami
bm5thmix	비트매니아 5th 믹스 (일본판 버전 A, JA-A)	Konami
bm6thmix	비트매니아 6th 믹스 (일본판 버전 A, JA-A)	Konami
bm7thmix	비트매니아 7th 믹스 (일본판 버전 B, JA-B)	Konami
bmaster	블레이드 마스터 (세계판)	Irem
bmclubmx	비트매니아 클럽 믹스 (일본판 버전 A, JA-A)	Konami
bmcompm2	비트매니아 컴플릿 믹스 2 (일본판 버전 A, JA-A)	Konami
bmcompmx	비트매니아 컴플릿 믹스 (일본판 버전 B, JA-B)	Konami
bmcorerm	비트매니아 코어 리믹스 (일본판 버전 A, JA-A)	Konami
bmdct	비트매니아 드림스 컴 트루 (일본판 버전 A, JA-A)	Konami
bmfinal	비트매니아 더 파이널 (일본판 버전 A, JA-A)	Konami
bmiidx	비트매니아 IDX (863 JAB)	Konami
bmiidx2	비트매니아 IDX 2nd style (GC985 JAA)	Konami
bmiidx3	비트매니아 IDX 3rd style (GC992 JAC)	Konami
bmiidx3a	비트매니아 IDX 3rd style (GC992 JAA)	Konami
bmiidx4	비트매니아 IIDX 4th 스타일 (일본판 버전 A, JA)	Konami
bmiidx5	비트매니아 IDX 5th style (GCA17 JAA)	Konami
bmiidx6	비트매니아 IIDX 6th 스타일 (일본판 버전 A, JA)	Konami
bmiidx6a	비트매니아 IIDX 6th 스타일 (GCB4U JAA)	Konami
bmiidx7	비트매니아 IIDX 7th 스타일 (일본판 버전 A, JA)	Konami
bmiidx8	비트매니아 IIDX 8th 스타일 (일본판 버전 A, JA)	Konami
bmiidxa	비트매니아 IDX (863 JAA)	Konami
bmiidxc	비트매니아 IDX with DDR 2nd 클럽 버전 (896 JAB)	Konami
bmiidxc2	비트매니아 IIDX 서브스트림 with DDR 2nd 클럽 버전 2 (984 A01 BM)	Konami
bmiidxca	비트매니아 IDX with DDR 2nd 클럽 버전 (896 JAA)	Konami
bmiidxs	비트매니아 IDX 서브스트림 (983 JAA)	Konami
bngotime	Bingo Time	CLS
bntyhunt	바운티 헌터 (GCTech Co., LTD)	GCTech Co., LTD
bnzabros	보난자 브라더스 (미국판, DS3-5000-07d 플로피 기반)	Sega
bnzabrosj	보난자 브라더스 (일본판, DS3-5000-07b 플로피 기반)	Sega
boblbobl	보블 보블 (bootleg of 버블보블)	bootleg
boblcave	버블보블 : Lost Cave V1.2 (for Bobble Bobble PCB)	hack (Bisboch and Aladar)
bodyslam	바디 슬램 / 여자 레슬링 (8751 317-0015)	Sega
bogeyman	보기 매너	Technos Japan
boggy84	보기 '84	Kaneko
boggy84b	보기 '84 (bootleg, 세트 1)	bootleg (Eddie's Games)
boggy84b2	보기 '84 (bootleg, 세트 2)	bootleg
bombjack	봄 잭 (세트 1)	Tehkan
bombjack2	봄 잭 (세트 2)	Tehkan
bombjackt	봄 잭 (Tecfri, Spain)	Tehkan (Tecfri licence)
bombkick	봄 킥	Yun Sung
bombkicka	봄 킥 (세트 2)	Yun Sung
bombrman	봄버맨 (일본판)	Irem (licensed from Hudson Soft)
bombsa	범즈 어웨이	Jaleco
bonkadv	구극!! PC 원인 / B.C. 키드 / 봉크 어드벤처	Kaneko
bonzeadv	지옥순례 / 본즈 어드벤처 (세계판, 신버전)	Taito Corporation Japan
bonzeadvo	본즈 어드벤처 (세계판, Older)	Taito Corporation Japan
bonzeadvp	본즈 어드벤처 (세계판, prototype)	Taito Corporation Japan
bonzeadvu	본즈 어드벤처 (미국판)	Taito America Corporation
boogwing	부기 윙즈 (유럽판 버전 1.5, 92.12.07)	Data East Corporation
boogwinga	부기 윙즈 (아시아판 v1.5, 92.12.07)	Data East Corporation
boogwingu	부기 윙즈 (미국판 v1.7, 92.12.14)	Data East Corporation
boomrang	부메랑 / 제네시스 (세트 1)	Data East Corporation
boomranga	부메랑 / 제네시스 (세트 2)	Data East Corporation
bottom9	9회말 야구 (버전 T)	Konami
bottom9n	9회말 야구 (version N)	Konami
bouldash	보울더 대쉬 / 보울더 대쉬 파트 2 (세계판)	Data East Corporation (licensed from First Star)
bouldashj	보울더 대쉬 / 보울더 대쉬 파트 2 (일본판)	Data East Corporation (licensed from First Star)
boxyboy	박시 보이 (미국판)	Namco
boxyboya	박시 보이 (SB?)	Namco
brain	브레인	Coreland / Sega
brapboys	B.랩 보이즈 (세계판)	Kaneko
brapboysp	B.랩 보이즈 스페셜 (세계판)	Kaneko
brapboyspj	B.랩 보이즈 스페셜 (일본판)	Kaneko
brapboyspu	B.랩 보이즈 스페셜 (미국판)	Kaneko
breakers	브레이커즈	Visco
breakers01	브레이커즈 (쉬운 모드)	Hacks
breakersbh	브레이커즈 (보스 핵 by Yumeji)	Yumeji
breakersp	브레이커즈 (Move change 26c)	hack
breakrev	브레이커즈 리벤지	Visco
breakrevb	브레이커즈 리벤지 (보스 핵 by Yumeji)	Yumeji
breakrevpp	브레이커즈 리벤지 (Enhanced Power hack by Pipi899 2009-06-11)	Pipi899
breakrevs01	브레이커즈 리벤지 (Mode Easy)	kawada7278
breakrevs02	브레이커즈 리벤지 (Super Remix Edition 1.0)	Unknown
breaksp	브레이커즈 (Move change)	Visco
breywood	브레이우드 (일본 개정판 2)	Data East Corporation
brickzn	브릭 존 (v5.0, 조이스틱)	SunA
brickzn11	브릭 존 (v1.1, Spinner)	SunA
brickznv4	브릭 존 (v4.0, Spinner)	SunA
brickznv5	브릭 존 (v5.0, Joystick)	SunA
brival	버닝 라이벌 (세계판)	Sega
brivalj	버닝 라이벌 (일본판)	Sega
brixian	브릭시안	Cheil Computer System
brkthru	강행돌파 / 브레이크 드루 (미국판)	Data East USA
brkthruj	강행돌파 (일본판)	Data East Corporation
brkthrut	강행돌파 (Tecfri license)	Data East Corporation (Tecfri license)
brubber	버닝 러버	Data East
brutforc	브루트 포스	Leland Corporation
brvblade	브레이브 블레이드 (세계판)	Eighting / Raizing
brvbladea	브레이브 블레이드 (아시아판)	Eighting / Raizing
brvbladej	브레이브 블레이드 (일본판)	Eighting / Raizing
brvbladeu	브레이브 블레이드 (미국판)	Eighting / Raizing
bshark	배틀 샤크 (세계판)	Taito Corporation Japan
bsharkj	배틀 샤크 (일본판)	Taito Corporation
bsharkjjs	배틀 샤크 (일본판, 조이스틱 버전)	Taito Corporation
bsharku	배틀 샤크 (미국판)	Taito America Corporation
bssoccer	백 스트리트 축구 (KRB-0031 기판)	SunA (Unico license)
bstars	베이스볼 스타즈 프로페셔널 (세트 1)	SNK
bstars2	베이스볼 스타즈 2	SNK
bstarsh	베이스볼 스타즈 프로페셔널 (NGH-002)	SNK
btime	버거 타임 (Data East 판, 세트 1)	Data East Corporation
btime2	버거 타임 (Data East 세트 2)	Data East Corporation
btime3	버거 타임 (Data East 미국판)	Data East USA Inc.
btimem	버거 타임 (Midway)	Data East (Bally Midway license)
btlecity	VS 배틀 시티	Namco
btlkroad	배틀 K-로드	Psikyo
btlkroadk	배틀 K-로드 (한국판 PCB)	Psikyo
btltryst	배틀 트리스트 (일본판 버전 JAC)	Konami
btoads	배틀 토드	Rare / Electronic Arts
bub68705	버블보블 (68705 해적판)	bootleg
bub68705a	버블보블 (해적판 with 68705)(alt)	bootleg
bubblem	버블보블 III / 버블 메모리즈 (세계판, 버전 2.4O 1996/02/15)	Taito Corporation Japan
bubblemj	버블 메모리즈: 버블보블 이야기 3 (Ver 2.3J 1996/02/07)	Taito Corporation
bubblemu	버블 메모리즈: 버블보블 이야기 3 (Ver 2.5A 1996/02/21)	Taito America Corporation
bubbletr	버블 트러블 - 골리 고스트 2 (세계판, 개정판 B)	Namco
bubbletrj	버블 트러블 - 골리 고스트 2 (일본판, 개정판 C)	Namco
bubl2000	버블 2000	Afega (Tuning license)
bubl2000a	버블 2000 V1.2	Afega (Tuning license)
bublbob2	버블보블 II (버전 2.5O 1994/10/05)	Taito Corporation Japan
bublbob2o	버블보블 II (Ver 2.5O 1994/10/05)	Taito Corporation Japan
bublbob2p	버블보블 II (Ver 0.0J 1993/12/13, prototype)	Taito Corporation Japan
bublbobl	버블보블 (일본판, 버전 0.1)	Taito Corporation
bublbobl1	버블보블 (일본판, 버전 0.0)	Taito Corporation
bublboblb	버블보블 (for Bobble Bobble PCB)	bootleg (Aladar)
bublboblp	버블보블 (시험판 on 토키o hardware)	Taito Corporation
bublboblr	버블보블 (US, Ver 5.1)	Taito America Corporation (Romstar license)
bublboblr1	버블보블 (US, Ver 1.0)	Taito America Corporation (Romstar license)
bublcave	버블보블: 잃어버린 동굴 (버전 1.2)	hack (Bisboch and Aladar)
bublcave10	버블보블: Lost Cave V1.0	hack (Bisboch and Aladar)
bublcave11	버블보블: Lost Cave V1.1	hack (Bisboch and Aladar)
bubsymphb	버블 심포니 (bootleg with OKI6295)	bootleg
bubsymphe	버블 심포니 (Ver 2.5O 1994/10/05)	Taito Corporation Japan
